month,gender,coeff,lower,upper,lower_avg,upper_avg,coeff_avg
Jan'19,B,31.42234,27.77921,35.06547,30.72547,32.96405,31.84476
Feb'19,B,31.8022,27.51521,36.08919,30.72547,32.96405,31.84476
March'19,B,31.22321,27.32506,35.12137,30.72547,32.96405,31.84476
April'19,B,31.83565,28.31526,35.35604,30.72547,32.96405,31.84476
May'19,B,33.27394,29.88918,36.65871,30.72547,32.96405,31.84476
June'19,B,27.9896,24.31619,31.663,30.72547,32.96405,31.84476
July'19,B,30.6786,27.12704,34.23015,30.72547,32.96405,31.84476
Aug'19,B,29.00928,25.03349,32.98508,30.72547,32.96405,31.84476
Sept'19,B,31.99184,28.22328,35.76039,30.72547,32.96405,31.84476
Oct'19,B,34.09071,30.20371,37.9771,30.72547,32.96405,31.84476
Nov'19,B,27.83831,24.17394,31.50268,30.72547,32.96405,31.84476
Dec'19,B,31.50446,27.62639,35.38254,30.72547,32.96405,31.84476
Jan'20,B,31.36025,27.77309,34.94741,30.72547,32.96405,31.84476
Feb'20,B,30.41772,26.68247,34.15298,30.72547,32.96405,31.84476
March'20,B,32.24252,27.53974,36.9453,30.72547,32.96405,31.84476
May'20,B,27.21725,23.32363,31.11088,26.06815,28.85442,27.46128
June'20,B,27.0863,24.00307,30.16953,26.06815,28.85442,27.46128
July'20,B,30.11233,26.69796,33.5267,26.06815,28.85442,27.46128
Aug'20,B,27.14412,23.96441,30.32383,26.06815,28.85442,27.46128
Sept'20,B,29.05955,25.56687,32.55224,26.06815,28.85442,27.46128
Oct'20,B,27.94084,24.10002,31.78165,26.06815,28.85442,27.46128
Nov'20,B,26.18446,22.6469,29.72203,26.06815,28.85442,27.46128
Dec'20,B,25.11873,21.52227,28.71518,26.06815,28.85442,27.46128
Jan'19,M,38.75141,33.34731,44.15551,34.67801,37.95822,36.31811
Feb'19,M,36.48594,30.66171,42.31017,34.67801,37.95822,36.31811
March'19,M,38.45115,32.38795,44.51435,34.67801,37.95822,36.31811
April'19,M,37.71998,32.46959,42.97037,34.67801,37.95822,36.31811
May'19,M,36.81118,31.7661,41.85626,34.67801,37.95822,36.31811
June'19,M,34.79508,29.46803,40.12213,34.67801,37.95822,36.31811
July'19,M,38.03289,32.75418,43.31159,34.67801,37.95822,36.31811
Aug'19,M,34.64471,28.65695,40.63246,34.67801,37.95822,36.31811
Sept'19,M,35.71064,30.11733,41.30396,34.67801,37.95822,36.31811
Oct'19,M,40.29794,34.49505,46.10084,34.67801,37.95822,36.31811
Nov'19,M,31.50479,26.3983,36.61128,34.67801,37.95822,36.31811
Dec'19,M,37.132,31.23095,43.03304,34.67801,37.95822,36.31811
Jan'20,M,33.00763,27.89739,38.11787,34.67801,37.95822,36.31811
Feb'20,M,29.74717,24.00952,35.48482,34.67801,37.95822,36.31811
March'20,M,35.23524,27.99057,42.47991,34.67801,37.95822,36.31811
May'20,M,31.33279,25.64664,37.01893,30.01738,34.22316,32.12027
June'20,M,33.64948,28.82994,38.46902,30.01738,34.22316,32.12027
July'20,M,34.93866,29.71366,40.16366,30.01738,34.22316,32.12027
Aug'20,M,28.08586,23.38136,32.79037,30.01738,34.22316,32.12027
Sept'20,M,37.04229,31.96391,42.12067,30.01738,34.22316,32.12027
Oct'20,M,36.59527,30.81808,42.37245,30.01738,34.22316,32.12027
Nov'20,M,28.59922,23.10059,34.09785,30.01738,34.22316,32.12027
Dec'20,M,28.58164,23.01968,34.1436,30.01738,34.22316,32.12027
Jan'19,F,23.43199,19.22689,27.63709,25.68326,28.686,27.18463
Feb'19,F,26.89737,20.37167,33.42307,25.68326,28.686,27.18463
March'19,F,25.2407,20.61952,29.86189,25.68326,28.686,27.18463
April'19,F,25.65869,21.27018,30.04719,25.68326,28.686,27.18463
May'19,F,30.20587,25.55893,34.85281,25.68326,28.686,27.18463
June'19,F,21.2167,16.54828,25.88513,25.68326,28.686,27.18463
July'19,F,23.91979,19.51473,28.32484,25.68326,28.686,27.18463
Aug'19,F,22.81534,17.7265,27.90417,25.68326,28.686,27.18463
Sept'19,F,28.77771,23.63947,33.91595,25.68326,28.686,27.18463
Oct'19,F,28.05712,23.0991,33.01515,25.68326,28.686,27.18463
Nov'19,F,24.3927,19.12678,29.65863,25.68326,28.686,27.18463
Dec'19,F,26.09205,21.03147,31.15263,25.68326,28.686,27.18463
Jan'20,F,29.4403,24.37165,34.50894,25.68326,28.686,27.18463
Feb'20,F,30.9447,26.00842,35.88098,25.68326,28.686,27.18463
March'20,F,29.37041,23.0857,35.65513,25.68326,28.686,27.18463
May'20,F,23.15161,17.93712,28.3661,20.96072,24.50897,21.79389
June'20,F,20.6121,16.88203,24.34216,20.96072,24.50897,21.79389
July'20,F,24.87206,20.68703,29.0571,20.96072,24.50897,21.79389
Aug'20,F,26.21711,21.90466,30.52955,20.96072,24.50897,21.79389
Sept'20,F,22.37415,17.77758,26.97072,20.96072,24.50897,21.79389
Oct'20,F,19.19539,14.70753,23.68326,20.96072,24.50897,21.79389
Nov'20,F,24.04337,19.51583,28.5709,20.96072,24.50897,21.79389
Dec'20,F,21.47881,16.91923,26.03839,20.96072,24.50897,21.79389